title,company_name,location,experience,technical_skills
Research and Data Analyst,RECOVINYL,Anywhere,Non spécifié,"['R', 'Excel']"
Data Scientist,ENGIE,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Git']"
Data Foundation Operation Lead,UCB,"Anderlecht, Belgium",Non spécifié,"['R', 'Excel']"
"Lead, Data Center Engineering",Mastercard,"Waterloo, Belgium   (+2 others)",Non spécifié,"['R', 'Scala', 'Git']"
Senior Azure Data Engineer,Dattico,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'PowerBI', 'Snowflake', 'AZURE', 'Databricks', 'Scala', 'SQL', 'keras', 'Tensorflow', 'Snowflake', 'SQL Server', 'Pytorch', 'SAS']"
Data Scientist (Enterprise Solution Unit),Semrush Inc,Belgium,Non spécifié,"['R', 'Scala', 'Git']"
Study Coordinator Data Management,Labcorp,Belgium,Non spécifié,['R']
ICT Data Analyst MES (temporary assignment via third party agreement),imec,"Leuven, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AZURE', 'SQL', 'ELK', 'SAS']"
Data Center Chief Engineer,Salute Mission Critical,"Brussels, Belgium",Non spécifié,"['R', 'Transformers', 'transformers']"
Data Analyst,In4Matic,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AZURE', 'SQL', 'SAS']"
Data Analytics Engineer,Bluecrux,"Mechelen, Belgium",Non spécifié,"['Python', 'R', 'AZURE', 'Scala', 'Git']"
Environmental Data Analyst and Reporting,UCB,"Braine-l'Alleud, Belgium",Non spécifié,"['R', 'Excel', 'Git', 'SAS']"
"Data Coordinator - Lab (Leuven, Entry Level)","Medpace, Inc.","Leuven, Belgium",Non spécifié,"['R', 'Excel']"
Project Manager Data Protection,Randstad Digital Belgium,"Brussels, Belgium",Non spécifié,"['R', 'Excel']"
Master data planner,Cargill,"Hainaut, Belgium",Non spécifié,"['R', 'Scala']"
Senior Data Modeler,BNP Paribas Fortis,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'Oracle']"
Data Consultant (NL),Advisory - Technology,"Zaventem, Belgium",Non spécifié,"['R', 'Excel']"
Data & Process Insights Consultant | RoboRana Job Offer,RoboRana,"Kontich, Belgium",Non spécifié,['R']
Internship CLOUD Data Engineering,Veralto Global,"Ghent, Belgium",Non spécifié,"['R', 'AWS', 'ElasticSearch', 'Java']"
Data Engineer,Realo,"Ghent, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'AWS', 'SQL', 'keras', 'Tensorflow', 'scikit-learn']"
Internship CLOUD Data Engineering,Veralto Global,"Ghent, Belgium",Non spécifié,"['R', 'AWS', 'ElasticSearch', 'Java']"
Data Science Engineer,Wonka AI,Belgium,Non spécifié,"['Python', 'R', 'Excel', 'AZURE', 'Databricks', 'NLP', 'LLM', 'Pytorch']"
Azure Data Engineer,Next Ventures,"Antwerp, Belgium",Non spécifié,"['Python', 'R', 'AZURE', 'Databricks', 'Spark', 'Docker']"
Service Line Specialist Data and Analytics,Cognizant Technology Solutions,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'Git']"
Data Governance Specialist,Oliver James,"Brussels, Belgium",Non spécifié,"['R', 'Excel', 'AWS']"
Data Virtualisation Expert,Centric,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'PowerBI', 'Snowflake', 'AWS', 'AZURE', 'SQL', 'NoSQL', 'MongoDB', 'Kanban', 'ElasticSearch', 'Snowflake', 'SAS']"
Data Engineer,Human37,"Brussels, Belgium",Non spécifié,"['R', 'Git']"
Data Officer GEMS,ENGIE,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Excel']"
Junior Data Analyst (CDI/ VIE),Cream Consulting,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'PowerBI', 'SQL']"
Senior Data Engineer,Showpad,"Ghent, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'AWS', 'Scala', 'S3', 'SQL']"
Senior Data Engineer - IBM Client Innovation Center Belgium,IBM,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'AZURE', 'Spark', 'Scala', 'Hadoop', 'SQL', 'ElasticSearch', 'Java']"
Data manager/Bioinformatics Scientist,Charles River,Belgium,Non spécifié,"['Python', 'R', 'Excel']"
Data Solution Architect,Advisory - Technology,"Zaventem, Belgium",Non spécifié,"['R', 'Git']"
Project manager Data Analysis,VIB,"Ghent, Belgium",Non spécifié,"['R', 'Excel']"
"Senior Software Engineer, Data Sync",HubSpot,Belgium,Non spécifié,"['R', 'Java']"
Data Engineer,imec.istart,"Ghent, Belgium",Non spécifié,"['R', 'Scala']"
Data Analyst,Luxoft,Belgium,Non spécifié,['R']
Senior Data Analyst,Oliver James,"Brussels, Belgium",Non spécifié,"['R', 'SQL', 'SQL']"
Data Engineer,Deliverect,"Ghent, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Spark', 'Scala', 'Kafka', 'SQL', 'NoSQL', 'MongoDB', 'Java']"
Machine Learning Engineer,AXA Group,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Excel', 'AWS']"
Senior Cost Manager / QS - Data Center Project,Soben,Belgium,Non spécifié,"['R', 'Excel']"
Senior Data Engineering Consultant,Projective,"Machelen, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Snowflake', 'AZURE', 'Databricks', 'Scala', 'SQL', 'Git', 'Kubernetes', 'Docker', 'Snowflake']"
Data Center Technician II,Google Belgium,Belgium  (+1 other),Non spécifié,"['R', 'Scala']"
Master Data Administrator,STOW Group,"Spiere-Helkijn, Belgium",Non spécifié,['R']
Data Assistant - Lab,"Medpace, Inc.","Leuven, Belgium",Non spécifié,['R']
Lease Data & Warranty Engineer,TUI Group,"Zaventem, Belgium",Non spécifié,"['R', 'Excel']"
Freelance Medior Project Manager Data - Brussels - 12+ months,Dark Light,"Brussels, Belgium",Non spécifié,['R']
BE Data Engineer,Biztory,"Kontich, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'Snowflake', 'GCP', 'AWS', 'AZURE', 'SQL', 'Snowflake']"
Data Scientist - Chatbot Project,Huxley,Anywhere,Non spécifié,"['Python', 'R']"
Study Coordinator Data Management,Personal Genome Diagnostics,Belgium   (+16 others),Non spécifié,['R']
Post-doctoral Technology and Data Manager,VIB,Belgium,Non spécifié,['R']
Data & Analytics Manager - Financial Services,EY,"Machelen, Belgium",Non spécifié,"['R', 'Excel', 'Tableau', 'PowerBI', 'Talend', 'Git']"
Senior Data Engineer,BNP Paribas Fortis,"Brussels, Belgium",Non spécifié,"['R', 'Excel']"
Power BI/ data anlayst - Brussels- freelance/permanent,Computer Futures,Anywhere,Non spécifié,"['R', 'SQL', 'Excel', 'SQL']"
Data Analyst – Data Management & Analytics,Capco,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL']"
