title,company_name,location,experience,technical_skills
Data Engineer Intern,Boeing,"Richmond, BC, Canada",Non spécifié,"['R', 'Excel']"
2024 Summer Student - Data/ML Engineering Intern (12 months),Royal Bank of Canada,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'GCP', 'AWS', 'AZURE', 'Spark', 'Scala', 'SQL', 'NoSQL', 'SQL Server', 'Java', 'MySQL', 'Microservices']"
Data Software Engineer,EPAM Systems,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'AWS', 'Spark', 'Scala', 'S3', 'SQL', 'Git', 'pySpark', 'Pyspark', 'PySpark']"
"Senior Software Engineer, Data Platform",Thomson Reuters,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'PowerBI', 'Snowflake', 'AWS', 'Scala', 'S3', 'SQL', 'Git', 'Snowflake', 'SAS']"
Data Scientist (Mexico),Insight Global,"Burnaby, BC, Canada",Non spécifié,"['Python', 'R', 'GCP', 'S3', 'Kafka', 'Git', 'Kubernetes']"
Data Scientist Intern (May - 16 months),IBM,"Markham, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Scala', 'SQL', 'Git', 'NLP', 'LLM', 'generative AI']"
Regular Data Analyst,Luxoft,Canada,Non spécifié,"['Python', 'R', 'SQL', 'SQL']"
Data Scientist,Circle K,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'GCP', 'AWS', 'AZURE', 'Spark', 'SQL', 'Git', 'Jira', 'keras', 'Tensorflow', 'Pytorch', 'scikit-learn', 'pySpark', 'Pyspark', 'PySpark', 'SciKit-Learn']"
Sr Data Engineer,Royal Bank of Canada,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Snowflake', 'AZURE', 'Spark', 'Scala', 'Hadoop', 'SQL', 'NoSQL', 'Snowflake', 'pySpark', 'Pyspark', 'PySpark']"
Consultant(e) - Solutions de données personnalisées/ Consultant ...,IQVIA SOLUTIONS CANADA INC (CA03),"Québec City, QC, Canada",Non spécifié,['R']
"Sr. Fullstack Engineer, Data and AI Platform",Rivian,"Vancouver, BC, Canada",Non spécifié,"['Python', 'R', 'AWS', 'Scala', 'LLM', 'generative AI', 'Java', 'GraphQL', 'Microservices']"
"Senior Business Data Analyst, Marketing Planning & Analytics - Remote",McAfee,"Waterloo, ON, Canada  (+1 other)",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'AWS', 'AZURE', 'Databricks', 'Spark', 'Scala', 'SQL', 'Dash', 'Shiny', 'D3.js']"
"Data Science Director, Consumer and Discovery",Coursera,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Databricks', 'Airflow', 'SQL', 'Dash']"
Data Scientist - Pricing Algorithms,Lyft,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'SQL']"
Data & Analytics Manager,"155 Queens Quay East, Toronto","Toronto, ON, Canada",Non spécifié,"['R', 'Git', 'Dash']"
Data Entry Clerk (Part Time) (Remote),Staffing Data Services Agency,Anywhere,Non spécifié,"['R', 'Excel']"
eCommerce Data & Insights Manager,Nestle Operational Services Worldwide SA,"Montreal, QC, Canada",Non spécifié,"['R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL', 'Git', 'Dash']"
Data Science Associate Intern,Roche,"Mississauga, ON, Canada",Non spécifié,"['R', 'Excel', 'AWS', 'SAS', 'Shiny']"
"Data Analyst, Data Analytics",Cardinal Health,"Vaughan, ON, Canada",Non spécifié,"['R', 'SQL', 'Tableau', 'PowerBI', 'GCP', 'AWS', 'SQL', 'Dash']"
Senior Data Engineer- Warehousing,Cadence Solutions,"Edmonton, AB, Canada",Non spécifié,"['R', 'SQL', 'Snowflake', 'AWS', 'SQL', 'Snowflake', 'Redshift']"
Manager - Data Governance - Vancouver,EY,"Vancouver, BC, Canada",Non spécifié,"['R', 'Excel']"
"Senior Director, Data Analytics & Evidence Synthesis",EVERSANA,"Burlington, ON, Canada",Non spécifié,"['R', 'Excel', 'VBA']"
"Sr. Fullstack Engineer, Data and AI Platform",Rivian,"Vancouver, BC, Canada",Non spécifié,"['Python', 'R', 'AWS', 'Scala', 'LLM', 'generative AI', 'Java', 'GraphQL', 'Microservices']"
Data Analyst,VC3,Anywhere,Non spécifié,"['R', 'SQL', 'Scala', 'SQL', 'Dash']"
Data Engineer- IT,D2L,"Kitchener, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'AWS', 'Scala', 'SQL']"
Sr Data Engineer,Bank of Montreal,"Toronto, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'PowerBI', 'AWS', 'AZURE', 'SQL', 'SAS', 'Dash']"
Data and AI Industry Analytics Associate Director - Insurance,Accenture,"Toronto, ON, Canada",Non spécifié,"['R', 'Excel', 'Spark', 'Git']"
Data Scientist for Product,McAfee,"Waterloo, ON, Canada  (+1 other)",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'Scala', 'SQL']"
Data Scientist,CGI,"Toronto, ON, Canada",Non spécifié,['R']
Global Data Lab Data Scientist,Prospect33,"Halifax, NS, Canada",Non spécifié,"['Python', 'R', 'SQL', 'SQL', 'Pandas']"
Junior Data Scientist,PepsiCo,"Mississauga, ON, Canada",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'Hadoop', 'SQL']"
"Sr. Fullstack Engineer, Data and AI Platform",Rivian,"Vancouver, BC, Canada",Non spécifié,"['Python', 'R', 'AWS', 'Scala', 'LLM', 'generative AI', 'Java', 'GraphQL', 'Microservices']"
Insights Manager - Data & Analytics,Unilever,"Toronto, ON, Canada",Non spécifié,"['R', 'SQL', 'Excel', 'PowerBI', 'SQL', 'Git', 'SAS', 'Dash']"
Data Scientist,CGI,"Toronto, ON, Canada",Non spécifié,['R']
RETAIL DATA COLLECTION ASSOCIATE PART TIME,"CROSSMARK, Inc.","Halifax, NS, Canada",Non spécifié,['R']
"Senior Product Owner, Data POD (Personal Insurance)",Definity Careers,"Waterloo, ON, Canada",Non spécifié,"['R', 'GCP', 'Scala', 'Jira']"
