title,company_name,location,experience,technical_skills
Data Application Management,State Street,"Munich, Germany",Non spécifié,"['R', 'Excel']"
Data & AI Strategist,Databricks,"Munich, Germany",Non spécifié,"['R', 'AWS', 'AZURE', 'Databricks', 'Spark', 'Git']"
Internship: Data Management (f/m/div)*,Infineon Technologies,Anywhere,Non spécifié,"['R', 'Excel', 'Tableau', 'Git', 'LLM']"
Director Data Governance,10001250 - Associate Director Informatician,"Munich, Germany",Non spécifié,"['R', 'AWS', 'Jira']"
Data Analyst - e-domizil [German-speaking] (m/f/d),HomeToGo,"Münster, Germany",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL']"
"Director, Data & Analytics Consulting - Machine...",EPAM Systems,"Munich, Germany",Non spécifié,"['Python', 'R', 'Excel', 'Git', 'Tensorflow', 'LLM', 'Pytorch', 'Transformers']"
PreMaster Program - Digitalization in the Field of Data Science,Robert Bosch GmbH,Anywhere,Non spécifié,"['Python', 'R', 'Spark']"
Associate Director* Commercial Data,BioNTech,"Mainz, Germany",Non spécifié,"['R', 'Git']"
Working Student - Enterprise Data Office (m/f/d),AZGROUPPROD,"Frankfurt, Germany",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL']"
Presales Data Architect - GCP,Rackspace,"Munich, Germany",Non spécifié,"['R', 'SQL', 'Excel', 'Spark', 'SQL', 'Oracle', 'BigQuery', 'MySQL']"
Global HR Data Protection Manager (all genders),Beiersdorf AG,"Hamburg, Germany",Non spécifié,"['R', 'Excel', 'AWS', 'Git']"
Principal Research Engineer – Data and AI Systems (m/f/d),Huawei Research Center Germany & Austria,"Munich, Germany",Non spécifié,"['R', 'AWS', 'AZURE', 'S3', 'Tensorflow', 'LLM', 'Pytorch']"
Data Collector - remote,TripActions,"Berlin, Germany",Non spécifié,['R']
Data Privacy Expert CEC (m/w/d),bioMerieux SA Career Site - MULTI-LINGUAL,"Nürtingen, Germany",Non spécifié,"['R', 'AWS']"
Data Officer SSBI- Managing Director,State Street,"Munich, Germany",Non spécifié,"['R', 'Excel']"
Senior Manager Data Strategy - German speaking,Publicis Sapient,"Frankfurt, Germany",Non spécifié,"['R', 'Git']"
