title,company_name,location,experience,technical_skills
Clinical Data Analyst,Lilly,"Cork, Ireland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'SQL', 'Git', 'SAS', 'Shiny']"
Data Analytics and AI - Senior Manager - Data Analytics,EY,"Dublin 2, Ireland",Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'PowerBI', 'GCP', 'AWS', 'AZURE', 'Scala', 'SQL', 'Git']"
Data Services Analyst - Investment Services,U.S. Bank National Association,"Dublin, Ireland",Non spécifié,"['R', 'SQL', 'Excel', 'Scala', 'SQL']"
Manufacturing Data Engineer & PI System Technical Lead,AstraZeneca,"Dublin, Ireland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'SQL', 'Git']"
GBI Software Engineer (Data Apps + Frontend),Apple,"Cork, Ireland",Non spécifié,"['Python', 'R', 'Excel', 'Scala', 'S3', 'Java']"
Sustainability Data Analyst,Woodie's,"Dublin, Ireland",Non spécifié,"['R', 'Excel', 'Dash']"
Senior Data Engineer,Amach,"Dublin, Ireland",Non spécifié,"['R', 'SQL', 'Tableau', 'PowerBI', 'Snowflake', 'AWS', 'SQL', 'Git', 'Snowflake', 'SQL Server', 'Dash']"
Senior Privacy & Data Protection Counsel,Cloud Software Group,"Dublin, Ireland",Non spécifié,"['R', 'AWS', 'Scala']"
"Associate Director, Data Analytics Engineering",Sun Life,"Waterford, Ireland",Non spécifié,"['R', 'Excel', 'Dataiku', 'Snowflake', 'AWS', 'Scala', 'Dataiku', 'Snowflake']"
Data Center Chief Engineer,Salute Mission Critical,"Dublin, Ireland",Non spécifié,"['R', 'Excel', 'Transformers']"
Data Architect,Primark,"Dublin, Ireland",Non spécifié,"['R', 'Tableau']"
Senior Data Engineer,Neuratek Search,"Dublin, Ireland",Non spécifié,"['R', 'Snowflake', 'Scala', 'Git', 'Snowflake', 'Terraform']"
Data Scientist,Version1 Software,Anywhere,Non spécifié,"['R', 'SQL', 'Excel', 'Snowflake', 'AWS', 'SQL', 'Git', 'Snowflake', 'Oracle', 'GPT']"
Technology Consulting (DES) - Data Solution Architect - Senior Manager,EY,"Dublin 2, Ireland",Non spécifié,"['R', 'SQL', 'Excel', 'AWS', 'AZURE', 'SQL', 'Cassandra', 'MongoDB', 'Git', 'SQL Server', 'Oracle']"
Materials Data Analyst -  Temporary 9 months,Coca Cola Careers,"Ballina, County Mayo, Ireland",Non spécifié,"['R', 'AWS', 'Dash']"
Data Scientist II,Rent the Runway,"Galway, Ireland",Non spécifié,"['Python', 'R']"
Lead Data Engineer,DraftKings,Anywhere,Non spécifié,"['R', 'SQL', 'Excel', 'Snowflake', 'AWS', 'Scala', 'Airflow', 'S3', 'Kafka', 'SQL', 'Snowflake', 'SQL Server', 'BigQuery', 'Redshift', 'MySQL']"
Data Analytics Consultant,Bluecrux,"Dublin, Ireland",Non spécifié,['R']
Staff Data Engineer,Tenable,"Dublin, Ireland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Snowflake', 'AWS', 'Kafka', 'SQL', 'NoSQL', 'Git', 'Kubernetes', 'Docker', 'Jenkins', 'Snowflake', 'Terraform']"
Bloomberg Data Management Services (DMS) Internship 2024 (Flex...,Bloomberg,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Kafka', 'SQL', 'NoSQL', 'Oracle', 'Java']"
Data Integrity Analyst,PGIM,Ireland,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'SQL']"
Data Architect,CFCL Cork,"Cork, Ireland",Non spécifié,"['R', 'Excel']"
