title,company_name,location,experience,technical_skills
Senior Clinical Data Manager I,10001262 - Senior Clinical Data Manager,"Barcelona, Spain",Non spécifié,"['R', 'SQL', 'Excel', 'AWS', 'SQL', 'VBA']"
Sustainability Master Data and Analytics Lead,coty,"Granollers, Spain",Non spécifié,"['R', 'Git']"
Data Research Analyst,Morningstar,"Madrid, Spain",Non spécifié,"['R', 'Excel']"
"Data Scientist - Barcelona - ES - Barcelona, ES | Globant Careers",Globant,"Barcelona, Spain",Non spécifié,['R']
Data Analytics Lead  - Digital Markets,Gartner Careers,"Barcelona, Spain",Non spécifié,"['R', 'SQL', 'Excel', 'Tableau', 'PowerBI', 'Snowflake', 'AZURE', 'SQL', 'Git', 'Snowflake', 'Dash', 'PostgreSQL']"
Senior Data Scientist Renewables Innovation,DNV,"Barcelona, Spain",Non spécifié,"['Python', 'R', 'Git', 'Kubernetes']"
Specialist Data Scientist,Vodafone,"Madrid, Spain",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'GCP', 'AWS', 'AZURE', 'Spark', 'Airflow', 'SQL', 'Git', 'scikit-learn', 'pySpark', 'Pyspark', 'PySpark', 'Pandas', 'SciKit-Learn', 'Dash']"
Business Intelligence and Data Team Lead,Xcelirate,Anywhere,Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL', 'Docker', 'Kanban']"
Data Procurement,Boston Consulting Group,"Madrid, Spain",Non spécifié,"['R', 'Excel']"
LLP - Data Analyst,DPDHL,"Valencia, Spain",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'SQL', 'VBA', 'Dash']"
Reliability Data Analyst,481T SIEMENS GAMESA RENEWABLE ENERGY INNOVATION AND TECHNOLOGY S.L.,Anywhere,Non spécifié,"['R', 'AWS', 'Git']"
Data Scientist - Insights (Customer Support),Preply,"Barcelona, Spain",Non spécifié,"['R', 'Excel', 'Databricks', 'Airflow', 'Git', 'Jenkins', 'Gitlab', 'Dash']"
Senior Data Software Engineer,AgileEngine,Portugal   (+12 others),Non spécifié,"['Python', 'R', 'SQL', 'Spark', 'Scala', 'SQL']"
Marketing Manager,MongoDB,"Barcelona, Spain",Non spécifié,"['R', 'Tableau', 'GCP', 'AWS', 'AZURE', 'MongoDB']"
ESG Data Scientist,Apex Group Ltd,"Valencian Community, Spain",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Tableau', 'AWS', 'AZURE', 'Databricks', 'Spark', 'S3', 'Kafka', 'Hadoop', 'SQL', 'Tensorflow', 'NLP', 'Pytorch', 'Azure Data Factory', 'Java', 'Redshift']"
Data Engineer DB/AWS Cloud,Allianz,Spain,Non spécifié,"['R', 'AWS', 'Git', 'Kanban']"
Data Scientist,Aon Corporation,"Madrid, Spain",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'SQL', 'Git', 'Seaborn', 'Plotly', 'Microservices']"
Staff Software Engineer (Data and Storage Services),Affirm,"Madrid, Spain",Non spécifié,"['Python', 'R', 'SQL', 'Snowflake', 'GCP', 'AWS', 'AZURE', 'Scala', 'Kafka', 'SQL', 'Cassandra', 'Kubernetes', 'Docker', 'Snowflake', 'Java', 'BigQuery', 'Redshift', 'MySQL']"
"Data Analyst, Marketing Analytics",Scopely,Spain,Non spécifié,"['Python', 'R', 'SQL', 'Tableau', 'PowerBI', 'SQL', 'Dash', 'BigQuery']"
Finance Consolidation Data Services Manager,"PUIG, S.L.","Barcelona, Spain",Non spécifié,"['R', 'Excel']"
"Senior Data Engineer (Python, MDM, AWS)",Gartner Careers,"Barcelona, Spain",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AWS', 'AZURE', 'SQL', 'Git', 'Java', 'PostgreSQL']"
