title,company_name,location,experience,technical_skills
Flow Cytometry Data Analyst,Roche,"Basel, Switzerland",Non spécifié,"['Python', 'R', 'Excel']"
"MOSE Data Strategy, Governance and Management Manager (location: EU)",ABB,"Baden, Switzerland   (+2 others)",Non spécifié,"['R', 'Excel', 'Git']"
"Senior Specialist ""Informal economy data and diagnostics""",International Labour Organization,"Geneva, Switzerland",Non spécifié,"['R', 'Excel']"
Manufacturing Master Data Specialist,Bristol-Myers Squibb  Co,"Boudry, Switzerland",Non spécifié,"['R', 'Excel']"
Computer Vision Data Scientist,Apple,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'Excel', 'Tableau']"
"Director, Product management Data Platform",Quartz Bio,"Geneva, Switzerland",Non spécifié,"['R', 'Scala', 'Git']"
Manager Data Analytics,Publicis Sapient,"Zürich, Switzerland",Non spécifié,"['R', 'Git']"
Consultant - Data Scientist - Forensics Investigations ...,EY,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'Spark', 'SQL']"
Data Scientist Intern,Richemont,"Villars-sur-Glâne, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL', 'Git', 'Docker', 'Tensorflow']"
Senior Specialist Applied Data Analytics,Nestle Operational Services Worldwide SA,"Lausanne, Switzerland",Non spécifié,"['Python', 'R', 'Excel']"
Data Scientist Time Series Forecasting · 80% – 100%,Digitec Galaxus AG,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'SQL', 'Git']"
Consultant - Audit Analytics & Data Delivery (Graduate),EY,"Zürich, Switzerland",Non spécifié,"['R', 'SQL', 'Excel', 'Spark', 'SQL']"
Data Engineer,42matters,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Scala', 'S3', 'SQL', 'MongoDB', 'Docker', 'ElasticSearch']"
Chapter Lead - Data Strategy & Governance,DSM,"Kaiseraugst, Switzerland",Non spécifié,"['R', 'Excel', 'Git']"
BI Data Analyst,Aston Carter,"Zürich, Switzerland",Non spécifié,"['R', 'Tableau', 'Oracle']"
Senior Sustainability Associate - Data Owner,Partners Group AG,"Zug, Switzerland",Non spécifié,"['R', 'Excel', 'Scala']"
Data Scientist – Process Development (80-100%),Climeworks,"Zürich, Switzerland",Non spécifié,"['Python', 'R', 'SQL', 'Excel', 'AZURE', 'Databricks', 'SQL']"
Data Science Analyst,Agoda,"Zürich, Switzerland",Non spécifié,['R']
Sr Data Steward,SZ1 Banco Santander International SA,Anywhere,Non spécifié,"['R', 'Excel', 'Scala', 'Git']"
Data and Business Analyst,Randstad,"Geneva, Switzerland",Non spécifié,"['R', 'SQL', 'Excel', 'Tableau', 'SQL', 'Git']"
Data Engineer,Murmuration,Switzerland,Non spécifié,"['Python', 'R', 'SQL', 'Snowflake', 'AWS', 'Scala', 'Airflow', 'S3', 'SQL', 'MongoDB', 'Snowflake']"
Actuarial Data Analyst,SiriusPoint Ltd.,Switzerland,Non spécifié,"['Python', 'R', 'Excel']"
Data Analyst - Semantic Models intern,Philip Morris International,"Lausanne, Switzerland",Non spécifié,"['Python', 'R', 'Git']"
Group Lead Data and AI,Proclinical,"Lachen, Switzerland",Non spécifié,"['Python', 'R', 'PowerBI', 'AZURE', 'Scala', 'Git', 'generative AI']"
Consultant Data & Information Governance (m/f/d),AWK Group AG,"Bern, Switzerland   (+3 others)",Non spécifié,"['R', 'Git']"
