title,company_name,location,experience,technical_skills
"Data & Analytics, Director Analyst",Gartner Careers,"Tokyo, Japan",Non spécifié,"['R', 'r', 'Excel', 'excel', 'Git', 'git']"
Senior Data Scientist,Visa,Japan,Non spécifié,"['Python', 'python', 'R', 'r', 'SQL', 'sql', 'SQL', 'sql', 'Git', 'git']"
Data Analyst,DOWN Dating & Hookups,Anywhere,Non spécifié,"['R', 'r', 'SQL', 'sql', 'AWS', 'aws', 'SQL', 'sql', 'Dash', 'dash', 'BigQuery', 'bigquery']"
Data Scientist - Japan,DataRobot,Anywhere,Non spécifié,"['Python', 'python', 'R', 'r', 'Excel', 'excel']"
V.I.E - Analytics Engineer - Tokyo,Richemont,"Tokyo, Japan",Non spécifié,"['R', 'r', 'SQL', 'sql', 'Excel', 'excel', 'PowerBI', 'powerbi', 'GCP', 'gcp', 'SQL', 'sql', 'Git', 'git', 'Dash', 'dash']"
Data Engineer / Data Scientist - QuantumBlack,McKinsey & Company,"Tokyo, Japan",Non spécifié,"['Python', 'python', 'R', 'r', 'SQL', 'sql', 'Excel', 'excel', 'SQL', 'sql']"
Clinical Data Manager,Michael Page,Anywhere,Non spécifié,"['R', 'r', 'Excel', 'excel', 'GCP', 'gcp']"
Data Engineer (Senior - No Japanese Requirement),Octopus Energy,"Tokyo, Japan",Non spécifié,"['Python', 'python', 'R', 'r', 'SQL', 'sql', 'AWS', 'aws', 'Databricks', 'databricks', 'Spark', 'spark', 'Airflow', 'airflow', 'SQL', 'sql', 'Kubernetes', 'kubernetes', 'Terraform', 'terraform', 'pySpark', 'pyspark', 'PySpark', 'pyspark']"
Data Specialist (Recognition Services),Trax,Anywhere,Non spécifié,"['R', 'r', 'SQL', 'sql', 'Excel', 'excel', 'Scala', 'scala', 'SQL', 'sql', 'NoSQL', 'nosql', 'Git', 'git']"
【AstraZeneca】※Business Level Japanese Required※【Medical】Data...,10000957 - Medical Affairs - Generic Specialist,"Minato City, Tokyo, Japan",Non spécifié,"['Python', 'python', 'R', 'r', 'AWS', 'aws', 'AZURE', 'azure', 'S3', 's3', 'SAS', 'sas', 'Redshift', 'redshift']"
Full-remote! Online Data Analyst - Japanese,TELUS International AI Inc.,"Fukuoka, Japan",Non spécifié,"['R', 'r', 'Git', 'git']"
