,Unnamed: 0,title,company_name,location,experience,technical_skills,rank,score,country,Company,Glassdoor_rating
0,0,Research and Data Analyst,RECOVINYL,Anywhere,Non spécifié,"['Excel', 'R']",,,Anywhere,,
1,1,Data Scientist,ENGIE,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Git']",,,Belgium,ENGIE,"3,9"
2,1,Data Scientist,ENGIE,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Git']",,,Belgium,ENGIE,"3,9"
3,2,Data Foundation Operation Lead,UCB,"Anderlecht, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
4,3,"Lead, Data Center Engineering",Mastercard,"Waterloo, Belgium   (+2 others)",Non spécifié,"['R', 'Scala', 'Git']",51.0,72.9,Belgium,,
5,4,Senior Azure Data Engineer,Dattico,"Brussels, Belgium",Non spécifié,"['Snowflake', 'Scala', 'Azure', 'Sql server', 'Sas', 'Powerbi', 'Sql', 'Keras', 'Pytorch', 'Databricks', 'R', 'Tensorflow', 'Python']",,,Belgium,,
6,5,Data Scientist (Enterprise Solution Unit),Semrush Inc,Belgium,Non spécifié,"['R', 'Scala', 'Git']",,,Belgium,,
7,6,Study Coordinator Data Management,Labcorp,Belgium,Non spécifié,['R'],,,Belgium,,
8,7,ICT Data Analyst MES (temporary assignment via third party agreement),imec,"Leuven, Belgium",Non spécifié,"['Azure', 'Sas', 'Excel', 'Sql', 'R', 'Python', 'Elk']",,,Belgium,,
9,8,Data Center Chief Engineer,Salute Mission Critical,"Brussels, Belgium",Non spécifié,"['Transformers', 'R']",,,Belgium,,
10,9,Data Analyst,In4Matic,Anywhere,Non spécifié,"['Azure', 'Sas', 'Excel', 'Sql', 'R', 'Python']",,,Anywhere,,
11,10,Data Analytics Engineer,Bluecrux,"Mechelen, Belgium",Non spécifié,"['Scala', 'Azure', 'R', 'Git', 'Python']",,,Belgium,,
12,11,Environmental Data Analyst and Reporting,UCB,"Braine-l'Alleud, Belgium",Non spécifié,"['Sas', 'Excel', 'R', 'Git']",,,Belgium,,
13,12,"Data Coordinator - Lab (Leuven, Entry Level)","Medpace, Inc.","Leuven, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
14,13,Project Manager Data Protection,Randstad Digital Belgium,"Brussels, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
15,14,Master data planner,Cargill,"Hainaut, Belgium",Non spécifié,"['R', 'Scala']",,,Belgium,,
16,15,Senior Data Modeler,BNP Paribas Fortis,"Brussels, Belgium",Non spécifié,"['Oracle', 'Excel', 'R']",,,Belgium,,
17,16,Data Consultant (NL),Advisory - Technology,"Zaventem, Belgium",Non spécifié,"['Excel', 'R']",,,Belgium,,
18,17,Data & Process Insights Consultant | RoboRana Job Offer,RoboRana,"Kontich, Belgium",Non spécifié,['R'],,,Belgium,,
19,18,Internship CLOUD Data Engineering,Veralto Global,"Ghent, Belgium",Non spécifié,"['Elasticsearch', 'R', 'Aws', 'Java']",,,Belgium,,
20,19,Data Engineer,Realo,"Ghent, Belgium",Non spécifié,"['Sql', 'Aws', 'Keras', 'R', 'Tensorflow', 'Python', 'Scikit-learn']",,,Belgium,,
21,20,Internship CLOUD Data Engineering,Veralto Global,"Ghent, Belgium",Non spécifié,"['Elasticsearch', 'R', 'Aws', 'Java']",,,Belgium,,
22,21,Data Science Engineer,Wonka AI,Belgium,Non spécifié,"['Azure', 'Llm', 'Excel', 'Pytorch', 'Databricks', 'R', 'Nlp', 'Python']",,,Belgium,,
23,22,Azure Data Engineer,Next Ventures,"Antwerp, Belgium",Non spécifié,"['Azure', 'Docker', 'Databricks', 'R', 'Spark', 'Python']",,,Belgium,,
24,23,Service Line Specialist Data and Analytics,Cognizant Technology Solutions,"Brussels, Belgium",Non spécifié,"['Excel', 'R', 'Git']",,,Belgium,,
25,24,Data Governance Specialist,Oliver James,"Brussels, Belgium",Non spécifié,"['Excel', 'R', 'Aws']",,,Belgium,,
26,25,Data Virtualisation Expert,Centric,"Brussels, Belgium",Non spécifié,"['Elasticsearch', 'Snowflake', 'Mongodb', 'Azure', 'Sas', 'Powerbi', 'Sql', 'Aws', 'Nosql', 'Kanban', 'R']",,,Belgium,,
27,26,Data Engineer,Human37,"Brussels, Belgium",Non spécifié,"['R', 'Git']",,,Belgium,,
28,27,Data Officer GEMS,ENGIE,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Excel']",,,Belgium,ENGIE,"3,9"
29,27,Data Officer GEMS,ENGIE,"Brussels, Belgium",Non spécifié,"['Python', 'R', 'Excel']",,,Belgium,ENGIE,"3,9"
30,28,Junior Data Analyst (CDI/ VIE),Cream Consulting,Anywhere,Non spécifié,"['Tableau', 'Powerbi', 'Sql', 'R', 'Python']",,,Anywhere,,
31,29,Senior Data Engineer,Showpad,"Ghent, Belgium",Non spécifié,"['Tableau', 'Scala', 'Excel', 'Powerbi', 'Sql', 'Aws', 'R', 'Python', 'S3']",,,Belgium,,
