,title,company_name,location,experience,technical_skills,rank,score,country
0,Research and Data Analyst,RECOVINYL,Anywhere,Non spécifié,"['r', 'excel']",,,Anywhere
1,Data Scientist,ENGIE,"Brussels, Belgium",Non spécifié,"['r', 'git', 'python']",,,Belgium
2,Data Foundation Operation Lead,UCB,"Anderlecht, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
3,"Lead, Data Center Engineering",Mastercard,"Waterloo, Belgium   (+2 others)",Non spécifié,"['r', 'git', 'scala']",51.,72.9,Belgium
4,Senior Azure Data Engineer,Dattico,"Brussels, Belgium",Non spécifié,"['tensorflow', 'azure', 'r', 'databricks', 'sql server', 'snowflake', 'sas', 'powerbi', 'sql', 'pytorch', 'scala', 'keras', 'python']",,,Belgium
5,Data Scientist (Enterprise Solution Unit),Semrush Inc,Belgium,Non spécifié,"['r', 'git', 'scala']",,,Belgium
6,Study Coordinator Data Management,Labcorp,Belgium,Non spécifié,['r'],,,Belgium
7,ICT Data Analyst MES (temporary assignment via third party agreement),imec,"Leuven, Belgium",Non spécifié,"['azure', 'r', 'excel', 'sql', 'elk', 'sas', 'python']",,,Belgium
8,Data Center Chief Engineer,Salute Mission Critical,"Brussels, Belgium",Non spécifié,"['r', 'transformers']",,,Belgium
9,Data Analyst,In4Matic,Anywhere,Non spécifié,"['azure', 'r', 'excel', 'sql', 'sas', 'python']",,,Anywhere
10,Data Analytics Engineer,Bluecrux,"Mechelen, Belgium",Non spécifié,"['azure', 'r', 'scala', 'git', 'python']",,,Belgium
11,Environmental Data Analyst and Reporting,UCB,"Braine-l'Alleud, Belgium",Non spécifié,"['r', 'excel', 'git', 'sas']",,,Belgium
12,"Data Coordinator - Lab (Leuven, Entry Level)","Medpace, Inc.","Leuven, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
13,Project Manager Data Protection,Randstad Digital Belgium,"Brussels, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
14,Master data planner,Cargill,"Hainaut, Belgium",Non spécifié,"['r', 'scala']",,,Belgium
15,Senior Data Modeler,BNP Paribas Fortis,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'oracle']",,,Belgium
16,Data Consultant (NL),Advisory - Technology,"Zaventem, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
17,Data & Process Insights Consultant | RoboRana Job Offer,RoboRana,"Kontich, Belgium",Non spécifié,['r'],,,Belgium
18,Internship CLOUD Data Engineering,Veralto Global,"Ghent, Belgium",Non spécifié,"['r', 'elasticsearch', 'java', 'aws']",,,Belgium
19,Data Engineer,Realo,"Ghent, Belgium",Non spécifié,"['tensorflow', 'r', 'sql', 'aws', 'scikit-learn', 'keras', 'python']",,,Belgium
20,Internship CLOUD Data Engineering,Veralto Global,"Ghent, Belgium",Non spécifié,"['r', 'elasticsearch', 'java', 'aws']",,,Belgium
21,Data Science Engineer,Wonka AI,Belgium,Non spécifié,"['azure', 'r', 'nlp', 'databricks', 'llm', 'excel', 'pytorch', 'python']",,,Belgium
22,Azure Data Engineer,Next Ventures,"Antwerp, Belgium",Non spécifié,"['spark', 'azure', 'r', 'docker', 'databricks', 'python']",,,Belgium
23,Service Line Specialist Data and Analytics,Cognizant Technology Solutions,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'git']",,,Belgium
24,Data Governance Specialist,Oliver James,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'aws']",,,Belgium
25,Data Virtualisation Expert,Centric,"Brussels, Belgium",Non spécifié,"['azure', 'kanban', 'r', 'aws', 'elasticsearch', 'mongodb', 'snowflake', 'nosql', 'powerbi', 'sql', 'sas']",,,Belgium
26,Data Engineer,Human37,"Brussels, Belgium",Non spécifié,"['r', 'git']",,,Belgium
27,Data Officer GEMS,ENGIE,"Brussels, Belgium",Non spécifié,"['r', 'excel', 'python']",,,Belgium
28,Junior Data Analyst (CDI/ VIE),Cream Consulting,Anywhere,Non spécifié,"['tableau', 'r', 'powerbi', 'sql', 'python']",,,Anywhere
29,Senior Data Engineer,Showpad,"Ghent, Belgium",Non spécifié,"['tableau', 'r', 'aws', 'excel', 's3', 'sql', 'powerbi', 'scala', 'python']",,,Belgium
30,Senior Data Engineer - IBM Client Innovation Center Belgium,IBM,Anywhere,Non spécifié,"['spark', 'azure', 'r', 'elasticsearch', 'excel', 'sql', 'aws', 'scala', 'hadoop', 'java', 'python']",52.,72.9,Anywhere
31,Data manager/Bioinformatics Scientist,Charles River,Belgium,Non spécifié,"['r', 'excel', 'python']",,,Belgium
32,Data Solution Architect,Advisory - Technology,"Zaventem, Belgium",Non spécifié,"['r', 'git']",,,Belgium
33,Project manager Data Analysis,VIB,"Ghent, Belgium",Non spécifié,"['r', 'excel']",,,Belgium
34,"Senior Software Engineer, Data Sync",HubSpot,Belgium,Non spécifié,"['r', 'java']",,,Belgium
35,Data Engineer,imec.istart,"Ghent, Belgium",Non spécifié,"['r', 'scala']",,,Belgium
36,Data Analyst,Luxoft,Belgium,Non spécifié,['r'],,,Belgium
37,Senior Data Analyst,Oliver James,"Brussels, Belgium",Non spécifié,"['r', 'sql']",,,Belgium
38,Data Engineer,Deliverect,"Ghent, Belgium",Non spécifié,"['spark', 'kafka', 'r', 'mongodb', 'nosql', 'excel', 'sql', 'scala', 'java', 'python']",,,Belgium
39,Machine Learning Engineer,AXA Group,"Brussels, Belgium",Non spécifié,"['r', 'aws', 'excel', 'python']",,,Belgium
40,Senior Cost Manager / QS - Data Center Project,Soben,Belgium,Non spécifié,"['r', 'excel']",,,Belgium
41,Senior Data Engineering Consultant,Projective,"Machelen, Belgium",Non spécifié,"['azure', 'r', 'docker', 'databricks', 'snowflake', 'sql', 'scala', 'git', 'kubernetes', 'python']",,,Belgium
42,Data Center Technician II,Google Belgium,Belgium  (+1 other),Non spécifié,"['r', 'scala']",31.,74.1,Belgium
43,Master Data Administrator,STOW Group,"Spiere-Helkijn, Belgium",Non spécifié,['r'],,,Belgium
